,index,Animal,Count,Rank
0,2014,Bull,4,1
0,2014,Bull,4,2
0,2014,Bull,4,3
0,2014,Bull,4,4
1,2015,Bull,4,1
1,2015,Bull,4,2
1,2015,Bull,4,3
1,2015,Bull,4,4
2,2016,Bull,4,1
2,2016,Bull,4,2
2,2016,Bull,4,3
2,2016,Bull,4,4
3,2017,Bull,3,1
3,2017,Bull,3,2
3,2017,Bull,3,3
4,2018,Bull,3,1
4,2018,Bull,3,2
4,2018,Bull,3,3
5,2019,Bull,3,1
5,2019,Bull,3,2
5,2019,Bull,3,3
6,2020,Bull,3,1
6,2020,Bull,3,2
6,2020,Bull,3,3
7,2021,Bull,3,1
7,2021,Bull,3,2
7,2021,Bull,3,3
8,2022,Bull,3,1
8,2022,Bull,3,2
8,2022,Bull,3,3
9,2023,Bull,3,1
9,2023,Bull,3,2
9,2023,Bull,3,3
10,2024,Bull,3,1
10,2024,Bull,3,2
10,2024,Bull,3,3
11,2014,Cow,4,1
11,2014,Cow,4,2
11,2014,Cow,4,3
11,2014,Cow,4,4
12,2015,Cow,4,1
12,2015,Cow,4,2
12,2015,Cow,4,3
12,2015,Cow,4,4
13,2016,Cow,3,1
13,2016,Cow,3,2
13,2016,Cow,3,3
14,2017,Cow,3,1
14,2017,Cow,3,2
14,2017,Cow,3,3
15,2018,Cow,3,1
15,2018,Cow,3,2
15,2018,Cow,3,3
16,2019,Cow,4,1
16,2019,Cow,4,2
16,2019,Cow,4,3
16,2019,Cow,4,4
17,2020,Cow,4,1
17,2020,Cow,4,2
17,2020,Cow,4,3
17,2020,Cow,4,4
18,2021,Cow,3,1
18,2021,Cow,3,2
18,2021,Cow,3,3
19,2022,Cow,2,1
19,2022,Cow,2,2
20,2023,Cow,2,1
20,2023,Cow,2,2
21,2024,Cow,3,1
21,2024,Cow,3,2
21,2024,Cow,3,3
22,2014,Sheep,10,1
22,2014,Sheep,10,2
22,2014,Sheep,10,3
22,2014,Sheep,10,4
22,2014,Sheep,10,5
22,2014,Sheep,10,6
22,2014,Sheep,10,7
22,2014,Sheep,10,8
22,2014,Sheep,10,9
22,2014,Sheep,10,10
23,2015,Sheep,9,1
23,2015,Sheep,9,2
23,2015,Sheep,9,3
