,Year,Category,value
0,1989,Grain sorghum,376.0
1,1990,Grain sorghum,375.545
2,1991,Grain sorghum,567.0
3,1992,Grain sorghum,426.0
4,1993,Grain sorghum,498.0
5,1994,Grain sorghum,686.0
6,1995,Grain sorghum,770.0
7,1996,Grain sorghum,544.0
8,1997,Grain sorghum,506.0
9,1998,Grain sorghum,585.0
10,1999,Grain sorghum,622.0
11,2000,Grain sorghum,757.0
12,2001,Grain sorghum,820.0
13,2002,Grain sorghum,667.0
14,2003,Grain sorghum,734.0
15,2004,Grain sorghum,755.0
16,2005,Grain sorghum,766.0
17,2006,Grain sorghum,613.0
18,2007,Grain sorghum,941.0
19,2008,Grain sorghum,767.0
20,2009,Grain sorghum,498.0
21,2010,Grain sorghum,633.0
22,2011,Grain sorghum,658.0
23,2012,Grain sorghum,647.0
24,2013,Grain sorghum,532.0
25,2014,Grain sorghum,733.0
26,2015,Grain sorghum,521.0
27,2016,Grain sorghum,368.0
28,2017,Grain sorghum,462.0
29,2018,Grain sorghum,550.0
30,2019,Grain sorghum,204.0
31,2020,Grain sorghum,573.0
32,2021,Grain sorghum,622.0
33,2022,Grain sorghum,687.0
34,2023,Grain sorghum,592.0
35,2024,Grain sorghum,622.0
36,1989,Grain sorghum  _Production,939.0
37,1990,Grain sorghum  _Production,746.761
38,1991,Grain sorghum  _Production,1443.0
39,1992,Grain sorghum  _Production,546.0
40,1993,Grain sorghum  _Production,1082.0
41,1994,Grain sorghum  _Production,1272.0
42,1995,Grain sorghum  _Production,1592.0
43,1996,Grain sorghum  _Production,1425.0
44,1997,Grain sorghum  _Production,1081.0
45,1998,Grain sorghum  _Production,1887.0
46,1999,Grain sorghum  _Production,2114.0
47,2000,Grain sorghum  _Production,1934.0
48,2001,Grain sorghum  _Production,2019.0
49,2002,Grain sorghum  _Production,1464.0
50,2003,Grain sorghum  _Production,2009.0
51,2004,Grain sorghum  _Production,2010.0
52,2005,Grain sorghum  _Production,1931.0
53,2006,Grain sorghum  _Production,1282.0
54,2007,Grain sorghum  _Production,3790.0
55,2008,Grain sorghum  _Production,2691.0
56,2009,Grain sorghum  _Production,1508.0
57,2010,Grain sorghum  _Production,1935.0
58,2011,Grain sorghum  _Production,2235.0
59,2012,Grain sorghum  _Production,2229.0
60,2013,Grain sorghum  _Production,1282.0
61,2014,Grain sorghum  _Production,2210.0
62,2015,Grain sorghum  _Production,1791.0
63,2016,Grain sorghum  _Production,994.0
64,2017,Grain sorghum  _Production,1257.0
65,2018,Grain sorghum  _Production,1161.0
66,2019,Grain sorghum  _Production,398.0
67,2020,Grain sorghum  _Production,1639.0
68,2021,Grain sorghum  _Production,2648.069
69,2022,Grain sorghum  _Production,2637.778
70,2023,Grain sorghum  _Production,2215.035
71,2024,Grain sorghum  _Production,2404.852
72,1989,Cottonseed,240.0
73,1990,Cottonseed,279.0
74,1991,Cottonseed,312.0
75,1992,Cottonseed,286.0
76,1993,Cottonseed,294.0
77,1994,Cottonseed,246.0
78,1995,Cottonseed,304.0
79,1996,Cottonseed,396.0
80,1997,Cottonseed,438.0
81,1998,Cottonseed,562.0
82,1999,Cottonseed,464.0
83,2000,Cottonseed,527.0
84,2001,Cottonseed,409.0
85,2002,Cottonseed,224.0
86,2003,Cottonseed,198.0
87,2004,Cottonseed,321.0
88,2005,Cottonseed,336.0
89,2006,Cottonseed,144.0
90,2007,Cottonseed,63.0
91,2008,Cottonseed,164.0
92,2009,Cottonseed,208.0
93,2010,Cottonseed,590.0
94,2011,Cottonseed,600.0
95,2012,Cottonseed,442.0
96,2013,Cottonseed,392.0
97,2014,Cottonseed,197.0
98,2015,Cottonseed,270.0
99,2016,Cottonseed,557.0
100,2017,Cottonseed,526.0
101,2018,Cottonseed,379.0
102,2019,Cottonseed,69.0
103,2020,Cottonseed,297.0
104,2021,Cottonseed,635.0
105,2022,Cottonseed,572.0
106,2023,Cottonseed,477.0
107,2024,Cottonseed,453.0
108,1989,Cottonseed a_Production,493.0
109,1990,Cottonseed a_Production,686.0
110,1991,Cottonseed a_Production,749.0
111,1992,Cottonseed a_Production,528.0
112,1993,Cottonseed a_Production,466.0
113,1994,Cottonseed a_Production,474.0
114,1995,Cottonseed a_Production,595.0
115,1996,Cottonseed a_Production,860.0
116,1997,Cottonseed a_Production,941.0
117,1998,Cottonseed a_Production,1024.0
118,1999,Cottonseed a_Production,1046.0
119,2000,Cottonseed a_Production,1140.0
120,2001,Cottonseed a_Production,1054.0
121,2002,Cottonseed a_Production,546.0
122,2003,Cottonseed a_Production,494.0
123,2004,Cottonseed a_Production,912.0
124,2005,Cottonseed a_Production,844.0
125,2006,Cottonseed a_Production,388.0
126,2007,Cottonseed a_Production,188.0
127,2008,Cottonseed a_Production,466.0
128,2009,Cottonseed a_Production,547.0
129,2010,Cottonseed a_Production,1269.0
130,2011,Cottonseed a_Production,1620.0
131,2012,Cottonseed a_Production,1166.0
132,2013,Cottonseed a_Production,1015.0
133,2014,Cottonseed a_Production,605.0
134,2015,Cottonseed a_Production,721.0
135,2016,Cottonseed a_Production,1021.0
136,2017,Cottonseed a_Production,1212.0
137,2018,Cottonseed a_Production,575.0
138,2019,Cottonseed a_Production,131.0
139,2020,Cottonseed a_Production,697.0
140,2021,Cottonseed a_Production,1536.0
141,2022,Cottonseed a_Production,1436.0
142,2023,Cottonseed a_Production,1248.0
143,2024,Cottonseed a_Production,1164.0
144,1989,Cotton lint,240.0
145,1990,Cotton lint,279.0
146,1991,Cotton lint,312.0
147,1992,Cotton lint,286.0
148,1993,Cotton lint,294.0
149,1994,Cotton lint,246.0
150,1995,Cotton lint,304.0
151,1996,Cotton lint,396.0
152,1997,Cotton lint,438.0
153,1998,Cotton lint,562.0
154,1999,Cotton lint,464.0
155,2000,Cotton lint,527.0
156,2001,Cotton lint,409.0
157,2002,Cotton lint,224.0
158,2003,Cotton lint,198.0
159,2004,Cotton lint,321.0
160,2005,Cotton lint,336.0
161,2006,Cotton lint,144.0
162,2007,Cotton lint,63.0
163,2008,Cotton lint,164.0
164,2009,Cotton lint,208.0
165,2010,Cotton lint,590.0
166,2011,Cotton lint,600.0
167,2012,Cotton lint,442.0
168,2013,Cotton lint,392.0
169,2014,Cotton lint,197.0
170,2015,Cotton lint,270.0
171,2016,Cotton lint,557.0
172,2017,Cotton lint,526.0
173,2018,Cotton lint,379.0
174,2019,Cotton lint,69.0
175,2020,Cotton lint,297.0
176,2021,Cotton lint,635.0
177,2022,Cotton lint,572.0
178,2023,Cotton lint,477.0
