,Year,Category,value
0,1989,Wheat_Area,9004.0
1,1990,Wheat_Area,9218.2
2,1991,Wheat_Area,7183.0
3,1992,Wheat_Area,8274.7
4,1993,Wheat_Area,8383.1
5,1994,Wheat_Area,7890.6
6,1995,Wheat_Area,9220.8
7,1996,Wheat_Area,10935.5
8,1997,Wheat_Area,10440.6
9,1998,Wheat_Area,11542.6
10,1999,Wheat_Area,12167.6
11,2000,Wheat_Area,12141.3
12,2001,Wheat_Area,11529.3
13,2002,Wheat_Area,11170.3
14,2003,Wheat_Area,13067.1
15,2004,Wheat_Area,13399.4
16,2005,Wheat_Area,12442.6
17,2006,Wheat_Area,11797.9
18,2007,Wheat_Area,12578.2
19,2008,Wheat_Area,13530.2
20,2009,Wheat_Area,13881.1
21,2010,Wheat_Area,13501.8
22,2011,Wheat_Area,13902.1
23,2012,Wheat_Area,12979.2
24,2013,Wheat_Area,12613.1
25,2014,Wheat_Area,12383.7
26,2015,Wheat_Area,11282.2
27,2016,Wheat_Area,12191.2
28,2017,Wheat_Area,10919.2
29,2018,Wheat_Area,10402.3
30,2019,Wheat_Area,9863.2
31,2020,Wheat_Area,12643.2
32,2021,Wheat_Area,12728.3
33,2022,Wheat_Area,13045.0
34,2023,Wheat_Area,12372.4
35,2024,Wheat_Area,13010.3
36,1989,Wheat_Production,14215.0
37,1990,Wheat_Production,15066.1
38,1991,Wheat_Production,10557.3
39,1992,Wheat_Production,14738.7
40,1993,Wheat_Production,16479.2
41,1994,Wheat_Production,8961.4
42,1995,Wheat_Production,16503.9
43,1996,Wheat_Production,22924.2
44,1997,Wheat_Production,19226.7
45,1998,Wheat_Production,21464.8
46,1999,Wheat_Production,24757.4
47,2000,Wheat_Production,22108.2
48,2001,Wheat_Production,24299.4
49,2002,Wheat_Production,10131.8
50,2003,Wheat_Production,26131.8
51,2004,Wheat_Production,21905.1
52,2005,Wheat_Production,25150.4
53,2006,Wheat_Production,10821.7
54,2007,Wheat_Production,13569.4
55,2008,Wheat_Production,21420.1
56,2009,Wheat_Production,21834.0
57,2010,Wheat_Production,27410.0
58,2011,Wheat_Production,29905.0
59,2012,Wheat_Production,22855.2
60,2013,Wheat_Production,25302.7
61,2014,Wheat_Production,23742.6
62,2015,Wheat_Production,22274.5
63,2016,Wheat_Production,31818.7
64,2017,Wheat_Production,20941.1
65,2018,Wheat_Production,17597.6
