,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
95,Albania,Maize,2013,69533,1485.0,982.32,17.41
96,Albania,Potatoes,2013,260110,1485.0,982.32,17.41
97,Albania,Soybeans,2013,10000,1485.0,982.32,17.41
98,Albania,Wheat,2013,41292,1485.0,982.32,17.41
208,Algeria,Maize,2013,33649,89.0,17278.65,17.65
209,Algeria,Potatoes,2013,303218,89.0,17278.65,17.65
210,Algeria,"Rice, paddy",2013,17778,89.0,17278.65,17.65
211,Algeria,Sorghum,2013,60000,89.0,17278.65,17.65
212,Algeria,Wheat,2013,19100,89.0,17278.65,17.65
369,Angola,Cassava,2013,140517,1010.0,40.0,24.55
370,Angola,Maize,2013,9467,1010.0,40.0,24.55
371,Angola,Potatoes,2013,63303,1010.0,40.0,24.55
372,Angola,"Rice, paddy",2013,12744,1010.0,40.0,24.55
373,Angola,Sorghum,2013,2415,1010.0,40.0,24.55
374,Angola,Soybeans,2013,4405,1010.0,40.0,24.55
375,Angola,Sweet potatoes,2013,73409,1010.0,40.0,24.55
376,Angola,Wheat,2013,9022,1010.0,40.0,24.55
729,Argentina,Cassava,2013,99459,591.0,171945.54,16.45
730,Argentina,Cassava,2013,99459,591.0,171945.54,16.88
731,Argentina,Maize,2013,66037,591.0,171945.54,16.45
732,Argentina,Maize,2013,66037,591.0,171945.54,16.88
733,Argentina,Potatoes,2013,288984,591.0,171945.54,16.45
734,Argentina,Potatoes,2013,288984,591.0,171945.54,16.88
735,Argentina,"Rice, paddy",2013,67187,591.0,171945.54,16.45
736,Argentina,"Rice, paddy",2013,67187,591.0,171945.54,16.88
737,Argentina,Sorghum,2013,40852,591.0,171945.54,16.45
738,Argentina,Sorghum,2013,40852,591.0,171945.54,16.88
739,Argentina,Soybeans,2013,25391,591.0,171945.54,16.45
740,Argentina,Soybeans,2013,25391,591.0,171945.54,16.88
741,Argentina,Sweet potatoes,2013,147498,591.0,171945.54,16.45
742,Argentina,Sweet potatoes,2013,147498,591.0,171945.54,16.88
743,Argentina,Wheat,2013,26581,591.0,171945.54,16.45
744,Argentina,Wheat,2013,26581,591.0,171945.54,16.88
805,Armenia,Maize,2013,67114,562.0,278.72,11.08
806,Armenia,Potatoes,2013,215290,562.0,278.72,11.08
807,Armenia,Wheat,2013,31273,562.0,278.72,11.08
1732,Australia,Maize,2013,64441,534.0,45177.18,17.39
1733,Australia,Maize,2013,64441,534.0,45177.18,20.14
1734,Australia,Maize,2013,64441,534.0,45177.18,12.19
1735,Australia,Maize,2013,64441,534.0,45177.18,14.74
1736,Australia,Maize,2013,64441,534.0,45177.18,19.98
1737,Australia,Maize,2013,64441,534.0,45177.18,18.09
1738,Australia,Potatoes,2013,385434,534.0,45177.18,17.39
1739,Australia,Potatoes,2013,385434,534.0,45177.18,20.14
1740,Australia,Potatoes,2013,385434,534.0,45177.18,12.19
1741,Australia,Potatoes,2013,385434,534.0,45177.18,14.74
1742,Australia,Potatoes,2013,385434,534.0,45177.18,19.98
1743,Australia,Potatoes,2013,385434,534.0,45177.18,18.09
1744,Australia,"Rice, paddy",2013,102177,534.0,45177.18,17.39
1745,Australia,"Rice, paddy",2013,102177,534.0,45177.18,20.14
1746,Australia,"Rice, paddy",2013,102177,534.0,45177.18,12.19
1747,Australia,"Rice, paddy",2013,102177,534.0,45177.18,14.74
1748,Australia,"Rice, paddy",2013,102177,534.0,45177.18,19.98
1749,Australia,"Rice, paddy",2013,102177,534.0,45177.18,18.09
1750,Australia,Sorghum,2013,34419,534.0,45177.18,17.39
1751,Australia,Sorghum,2013,34419,534.0,45177.18,20.14
1752,Australia,Sorghum,2013,34419,534.0,45177.18,12.19
1753,Australia,Sorghum,2013,34419,534.0,45177.18,14.74
1754,Australia,Sorghum,2013,34419,534.0,45177.18,19.98
1755,Australia,Sorghum,2013,34419,534.0,45177.18,18.09
1756,Australia,Soybeans,2013,22336,534.0,45177.18,17.39
1757,Australia,Soybeans,2013,22336,534.0,45177.18,20.14
1758,Australia,Soybeans,2013,22336,534.0,45177.18,12.19
1759,Australia,Soybeans,2013,22336,534.0,45177.18,14.74
1760,Australia,Soybeans,2013,22336,534.0,45177.18,19.98
1761,Australia,Soybeans,2013,22336,534.0,45177.18,18.09
1762,Australia,Sweet potatoes,2013,344391,534.0,45177.18,17.39
1763,Australia,Sweet potatoes,2013,344391,534.0,45177.18,20.14
1764,Australia,Sweet potatoes,2013,344391,534.0,45177.18,12.19
